nta_code,nta_name,centroid_lat,centroid_lon
MN0303,East Village,40.725959077867394,-73.98208993940335
MN0401,Chelsea-Hudson Yards,40.74938310358531,-74.00114923657164
MN0402,Hell's Kitchen,40.76416895276355,-73.99239988080032
MN0501,Midtown South-Flatiron-Union Square,40.74404182187578,-73.98975146553573
MN0502,Midtown-Times Square,40.75780129395902,-73.98160920675764
MN0601,Stuyvesant Town-Peter Cooper Village,40.7318140851177,-73.97658199888879
MN0602,Gramercy,40.7368245738367,-73.98405359762388
MN0603,Murray Hill-Kips Bay,40.74424956164561,-73.97594775714717
MN0604,East Midtown-Turtle Bay,40.75613346141593,-73.9685030198135
MN0701,Upper West Side-Lincoln Square,40.77484763784723,-73.9846944962747
MN0702,Upper West Side (Central),40.78770331056162,-73.97593398091338
MN0703,Upper West Side-Manhattan Valley,40.79924670412151,-73.96730625605137
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,40.764966600392896,-73.95508675400065
MN0802,Upper East Side-Carnegie Hill,40.774729852506695,-73.96117409484607
MN0803,Upper East Side-Yorkville,40.77732362967935,-73.94868375812155
MN0901,Morningside Heights,40.809458543431425,-73.96176436840794
MN0902,Manhattanville-West Harlem,40.81802267842085,-73.95382231887429
MN0903,Hamilton Heights-Sugar Hill,40.82701992651571,-73.94846499041948
MN1001,Harlem (South),40.80433187234827,-73.9513003999754
MN1002,Harlem (North),40.81892736671252,-73.94090769460834
MN1101,East Harlem (South),40.79000988428943,-73.94575044826631
MN1102,East Harlem (North),40.80161252216069,-73.9374377253633
MN1201,Washington Heights (South),40.8409030329503,-73.94153592625341
MN1202,Washington Heights (North),40.85647374590407,-73.9334518489202
MN1203,Inwood,40.86604715035073,-73.9193240818796
QN0101,Astoria (North)-Ditmars-Steinway,40.777408649550694,-73.90525697315958
QN0102,Old Astoria-Hallets Point,40.77208817325818,-73.93141912300875
QN0103,Astoria (Central),40.764284106609225,-73.92305685616101
QN0104,Astoria (East)-Woodside (North),40.75955812859655,-73.91031297254318
QN0105,Queensbridge-Ravenswood-Dutch Kills,40.75831865148467,-73.93793239600956
QN0201,Long Island City-Hunters Point,40.74537957396462,-73.94890857669729
QN0202,Sunnyside,40.738417859354634,-73.92644449333002
QN0203,Woodside,40.743104529076206,-73.90141002214548
QN0301,Jackson Heights,40.75551879261543,-73.886344795089
QN0302,East Elmhurst,40.76407507142197,-73.87220301153103
QN0303,North Corona,40.75405265095446,-73.86285167575109
QN0401,Elmhurst,40.73939955607331,-73.87911138041682
QN0402,Corona,40.74324097664266,-73.85928416154198
QN0501,Maspeth,40.72306177256048,-73.90512129442645
QN0502,Ridgewood,40.70567300334716,-73.90368884676867
QN0503,Glendale,40.70353709093539,-73.87574476631717
QN0504,Middle Village,40.71922221483197,-73.87812707747038
QN0601,Rego Park,40.72623647270695,-73.86341982229942
QN0602,Forest Hills,40.721454730737776,-73.84767770032329
QN0701,College Point,40.78260006847289,-73.83988934240027
QN0702,Whitestone-Beechhurst,40.78837927904312,-73.81088947926929
QN0703,Bay Terrace-Clearview,40.78186101792749,-73.78757873957571
QN0704,Murray Hill-Broadway Flushing,40.76887101999594,-73.81076947372833
QN0705,East Flushing,40.75380324819656,-73.8080654907777
QN0706,Queensboro Hill,40.74310092081315,-73.81968393016587
QN0707,Flushing-Willets Point,40.76021312358903,-73.83158365157792
QN0801,Kew Gardens Hills,40.726645005437234,-73.81979282486623
QN0802,Pomonok-Electchester-Hillcrest,40.72706731100334,-73.8034217585255
QN0803,Fresh Meadows-Utopia,40.7349256748793,-73.78624448798526
QN0804,Jamaica Estates-Holliswood,40.720732045905216,-73.7776100947681
QN0805,Jamaica Hills-Briarwood,40.711886790622216,-73.80885617164482
QN0901,Kew Gardens,40.70803358086922,-73.82875585724541
QN0902,Richmond Hill,40.697476613049155,-73.83276769338852
QN0903,South Richmond Hill,40.6913285619879,-73.82486691536343
QN0904,Ozone Park (North),40.684562967064316,-73.84936725461918
QN0905,Woodhaven,40.69147537008392,-73.85741210478409
QN1001,South Ozone Park,40.67619915761595,-73.8195195900572
QN1002,Ozone Park,40.67557060336789,-73.84701411498177
QN1003,Howard Beach-Lindenwood,40.66003651765844,-73.84404269681744
QN1101,Auburndale,40.755256915409845,-73.78600458030095
QN1102,Bayside,40.76176178787688,-73.76759761817745
QN1103,Douglaston-Little Neck,40.76368908696052,-73.73688787066149
QN1104,Oakland Gardens-Hollis Hills,40.73930601204642,-73.75457787899656
QN1201,Jamaica,40.70402089296863,-73.79558190152397
QN1202,South Jamaica,40.69430646869901,-73.79172978902619
QN1203,Baisley Park,40.67953318672506,-73.78990897193601
QN1204,Springfield Gardens (North)-Rochdale Village,40.673330588849254,-73.77205282253388
QN1205,St. Albans,40.69323896542468,-73.7622214992301
