nta_code,nta_name,borough,noise_complaints,crime_count,park_count,total_acres,station_count,total_bikes,subway_stations,subway_lines,census_median_rent,median_income,total_population,median_age,college_rate,restaurant_count,cuisine_diversity,grade_a_count,osm_cafe,osm_culture,osm_entertainment,osm_fast_food,osm_fitness,osm_grocery,osm_library,osm_nightlife,osm_other,osm_amenity_count,redfin_median_rent,redfin_mean_rent,redfin_listing_count,redfin_median_sqft,redfin_median_bedrooms,noise_score,safety_score,parks_score,transit_score,restaurant_score,osm_score,vibrancy_score,composite_score,cluster,cluster_label,predicted_rent,rent_score,combined_transit,transit_plus_score,enhanced_composite,centroid_lat,centroid_lon
QN0202,Sunnyside,Queens,48,225,8,2.065,35.0,378.0,0.0,0.0,1827.0,77188.0,48959,38.7,0.3,163,33,64,33.0,0.0,1.0,36.0,9.0,66.0,1.0,20.0,1.0,167.0,,,,,,0.7920353982300885,0.810891089108911,0.14583333333333331,0.625,0.154,0.340122199592668,0.247061099796334,0.6266928429568621,1,Quiet & Green,2916.350931372549,0.9314076271925997,35.0,0.625,0.641837998677233,40.738417859354634,-73.92644449333002
BK0302,Bedford-Stuyvesant (East),Brooklyn,80,619,38,30.62,39.0,269.0,0.0,0.0,1748.0,67926.0,92641,35.0,0.2,137,29,51,24.0,2.0,0.0,41.0,6.0,50.0,0.0,18.0,0.0,141.0,1200.0,1200.0,2.0,1150.0,4.0,0.6504424778761062,0.42079207920792083,0.7708333333333333,0.6964285714285714,0.128,0.2871690427698574,0.2075845213849287,0.6171220527552124,1,Quiet & Green,1941.9501893939396,0.986124443668732,39.0,0.6964285714285714,0.6317536411798635,40.68662136129166,-73.93179230147457
BK0301,Bedford-Stuyvesant (West),Brooklyn,94,542,34,28.612000000000002,35.0,440.0,0.0,0.0,2117.0,80000.0,89800,31.9,0.3,171,36,82,48.0,2.0,1.0,82.0,8.0,92.0,0.0,26.0,1.0,260.0,1260.0,1776.0,5.0,750.0,3.0,0.588495575221239,0.497029702970297,0.6874999999999999,0.625,0.162,0.5295315682281059,0.34576578411405295,0.5899828046963989,1,Quiet & Green,1910.7145833333334,0.9808883846758006,35.0,0.625,0.6238605743060638,40.688956894289454,-73.95100175939116
BK0902,Prospect Lefferts Gardens-Wingate,Brooklyn,40,265,7,12.055,32.0,371.0,0.0,0.0,1663.0,70088.5,47387,37.0,0.2,93,30,36,14.0,0.0,0.0,41.0,7.0,34.0,0.0,8.0,0.0,104.0,1420.0,1757.0,3.0,1100.0,4.0,0.8274336283185841,0.7712871287128713,0.12499999999999999,0.5714285714285714,0.08399999999999999,0.21181262729124234,0.14790631364562118,0.6061016885506503,1,Quiet & Green,2936.4745993075835,0.9669255606946505,32.0,0.5714285714285714,0.6204149725972222,40.65975724490009,-73.94796185705357
QN0302,East Elmhurst,Queens,25,148,13,13.227,26.0,198.0,0.0,0.0,1892.5,71448.5,26143,39.7,0.1,40,15,21,3.0,0.0,1.0,14.0,0.0,10.0,0.0,1.0,0.0,29.0,3000.0,3400.0,3.0,1100.0,2.0,0.8938053097345133,0.8871287128712871,0.24999999999999997,0.46428571428571425,0.031,0.05906313645621181,0.0450315682281059,0.6556613698664431,1,Quiet & Green,3005.986380831006,0.8290426738807923,26.0,0.46428571428571425,0.6195556876316821,40.76407507142197,-73.87220301153103
BK0701,Windsor Terrace-South Slope,Brooklyn,7,56,12,8.408,14.0,219.0,0.0,0.0,2460.0,134209.5,26359,39.4,0.4,59,27,29,17.0,0.0,0.0,25.0,9.0,28.0,0.0,8.0,1.0,88.0,,,,,,0.9734513274336283,0.9782178217821782,0.22916666666666666,0.25,0.05,0.17922606924643583,0.11461303462321792,0.6451615117263938,0,Safe & Quiet & Car-Dependent,5462.1907142857135,0.8761672048171742,14.0,0.25,0.6181072105816968,40.656044567885395,-73.98002503454912
QN0602,Forest Hills,Queens,66,267,12,12.678999999999998,37.0,0.0,0.0,0.0,2083.0,107485.5,91709,45.8,0.3,170,36,76,24.0,0.0,1.0,42.0,13.0,40.0,0.0,6.0,0.0,126.0,3038.0,3114.0,8.0,750.0,1.0,0.7123893805309734,0.7693069306930693,0.22916666666666666,0.6607142857142857,0.161,0.2566191446028513,0.20880957230142566,0.6199013291025689,1,Quiet & Green,2959.9013480172075,0.8257265031852692,37.0,0.6607142857142857,0.6173663554797929,40.721454730737776,-73.84767770032329
MN0203,West Village,Manhattan,22,259,15,5.772,21.0,921.0,0.0,0.0,2814.0,146964.0,31798,39.7,0.5,333,48,157,57.0,3.0,3.0,29.0,8.0,23.0,0.0,46.0,0.0,169.0,,,,,,0.9070796460176991,0.7772277227722773,0.2916666666666667,0.375,0.324,0.3441955193482688,0.3340977596741344,0.6120215616694412,1,Quiet & Green,6061.339,0.8452744567588795,21.0,0.375,0.6148820464409989,40.734809606348094,-74.00589267481935
BK0401,Bushwick (West),Brooklyn,65,288,9,12.268,30.0,410.0,0.0,0.0,2197.0,89044.0,54804,31.1,0.3,189,31,80,30.0,5.0,1.0,34.0,7.0,62.0,0.0,63.0,0.0,202.0,1285.0,1948.0,4.0,1200.0,5.0,0.7168141592920354,0.7485148514851485,0.16666666666666666,0.5357142857142857,0.18,0.41140529531568226,0.29570264765784116,0.5710199000304581,1,Quiet & Green,2111.497946428571,0.9787066934287459,30.0,0.5357142857142857,0.6095998943032046,40.700996033986435,-73.92527060338631
BK0103,South Williamsburg,Brooklyn,11,107,17,12.178,11.0,235.0,0.0,0.0,1556.0,34712.0,46364,16.9,0.1,16,8,7,1.0,0.0,0.0,7.0,1.0,14.0,0.0,0.0,0.0,23.0,,,,,,0.9557522123893806,0.9277227722772278,0.3333333333333333,0.19642857142857142,0.006999999999999999,0.04684317718940936,0.02692158859470468,0.6330286943043231,0,Safe & Quiet & Car-Dependent,3407.6072294270057,0.9550571603106728,11.0,0.19642857142857142,0.6086327600847691,40.703241980755315,-73.95665885781327
